index,Color Factor,S and V Factor,Quantity Factor,Score,Cell Count,Nucleus Area,Nucleus Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Eosin OD mean,Cell: Eosin std dev,Cell: Eosin OD max,Cell: Eosin OD min,Cytoplasm: Hematoxylin OD mean,Cytoplasm: Hematoxylin OD std dev,Cytoplasm: Hematoxylin OD max,Cytoplasm: Hematoxylin OD min,Cytoplasm: Eosin OD mean,Cytoplasm: Eosin OD std dev,Cytoplasm: Eosin OD max,Cytoplasm: Eosin OD min,Nucleus/Cell area ratio,class
71,2716.824832,1,1,0.8838404,429.84,22.35004,19.6112,0.73996,7.53128,4.12268,0.78976,0.78956,73.57568,0.20048,1.217,0.35416,0.86268,0.338,32.146,0.14328,0.61088,-0.00152,0.61244,73.67396,33.76024,0.78704,12.61248,8.11088,0.72,0.2438,0.12728,0.61764,-0.0286,0.19548,0.14936,0.74232,-0.01008,0.19892,0.08624,0.49748,0.0216,0.30232,FALSE
34,140.5398055,1,0.639709443,0.661289031,241.1840194,24.31140678,21.76095642,0.642755448,8.269951574,4.445179177,0.800062954,0.225002421,23.43185714,0.082280872,0.445476998,0.053181598,0.3922954,0.254,26.71151332,0.074808717,0.419769976,0.076803874,0.342992736,110.480862,40.42211138,0.803401937,14.85245521,9.953619855,0.699307506,0.178360775,0.081857143,0.431154964,0.017619855,0.067075061,0.056157385,0.286891041,-0.043355932,0.153881356,0.064966102,0.371799031,0.023302663,0.230489104,TRUE
94,1109.443247,0.957484794,0.998568873,0.869038032,296.6050089,33.5322873,25.40847478,0.663570304,10.17397925,4.563150626,0.831642218,0.408089445,56.06100716,0.136065474,0.806353131,0.135065832,0.671297674,0.227833274,32.00412057,0.080379606,0.423901252,0.014984615,0.408902326,106.8855857,41.03704651,0.76429839,15.65354705,9.314259392,0.75002254,0.180745259,0.073656172,0.43022254,-0.008398211,0.113155635,0.086690161,0.461282648,-0.030327728,0.158950268,0.057206798,0.361401789,0.025764222,0.30640322,FALSE
85,4941.534143,0.881034483,0.990344828,0.884269621,461.85,24.26459483,20.08798966,0.750234483,7.534827586,4.48457931,0.763598276,0.415463793,42.13129138,0.128787931,0.768372414,0.15027069,0.618101724,0.185705172,18.86886034,0.079053448,0.370144828,-0.027743103,0.397877586,68.94568621,32.5442431,0.79442069,12.09006897,7.929008621,0.710024138,0.154844828,0.078055172,0.393846552,-0.055075862,0.140562069,0.100158621,0.48692069,-0.030822414,0.137132759,0.068531034,0.351762069,-0.02372931,0.348465517,FALSE
43,1356.270738,0.946994382,0.970037453,0.840619934,228.7462547,29.01233521,23.2573118,0.659911049,8.873687266,4.753848315,0.800477528,0.278388577,34.92817135,0.096246255,0.547399813,0.082289326,0.465104869,0.183886704,22.88149064,0.06218633,0.332555243,0.025854869,0.30671161,118.5960459,42.07388109,0.799825843,15.51819663,10.28255524,0.70598221,0.147135768,0.066729401,0.349027154,-0.013358614,0.091822097,0.061311798,0.331394195,-0.027072097,0.134154494,0.060850187,0.318328652,0.000423221,0.245039326,TRUE
112,2083.186979,0.99218663,0.632311978,0.78222266,310.7256267,21.08588997,20.40794429,0.656519499,8.115366295,3.830655989,0.834402507,0.37302507,33.98874791,0.128122563,0.679566852,0.125232591,0.55432312,0.200603064,17.60957799,0.066416435,0.346371866,0.048511142,0.297864903,99.52693733,39.01973538,0.792359331,14.55021866,9.361431755,0.721222841,0.128321727,0.079288301,0.356246518,-0.006291086,0.081841226,0.068764624,0.376089136,-0.003206128,0.107544568,0.067888579,0.307923398,-0.00264624,0.217076602,FALSE
59,552.1561989,0.721421233,1,0.848530514,303.2585616,24.06529623,21.27877055,0.678873288,8.440878425,4.07482363,0.821424658,0.357919521,36.24461986,0.123707192,0.683799658,0.118696918,0.565111301,0.196053082,19.81741952,0.072039384,0.363623288,0.020731164,0.342871575,99.12979623,39.12745205,0.78630137,14.69733219,9.273669521,0.728446918,0.173535959,0.078618151,0.457320205,-0.008840753,0.093457192,0.072311644,0.372967466,-0.052686644,0.165472603,0.074224315,0.426792808,0.015321918,0.242996575,TRUE
115,1086.471577,0.988829787,0.98097622,0.855838942,278.6076345,29.67532353,23.1187622,0.674176471,8.687905507,4.88509637,0.789638298,0.305105131,39.52890801,0.102842303,0.596178348,0.095357947,0.500809762,0.24031164,29.62507071,0.057961827,0.385243429,0.097031289,0.288204631,112.0358473,41.02507009,0.795452441,15.12892741,10.05341927,0.705652691,0.185429912,0.075998123,0.39331602,0.012816646,0.104460576,0.066750939,0.353994368,-0.007242804,0.16486796,0.069501877,0.340459324,0.0142403,0.261480601,FALSE
142,8668.896586,1,0.945066667,0.867843733,289.2853333,26.384586,21.44700467,0.715996667,8.032931333,4.637646667,0.763959333,0.578592667,65.22070867,0.135362,0.895418667,0.286272,0.609152667,0.250634667,26.96525533,0.07115,0.408779333,0.076994667,0.331788667,97.236428,37.98855133,0.801924,13.99706333,9.328199333,0.698283333,0.179145333,0.089691333,0.419618667,0.004966,0.204724667,0.121496667,0.601885333,0.018128,0.151704,0.077998667,0.355765333,0.009434667,0.281515333,TRUE
46,88.99214474,1,0.438747554,0.524820832,117.2162427,22.96292172,19.78300391,0.746613503,7.719293542,4.164296477,0.766995108,0.338995108,32.2117544,0.123524462,0.637609589,0.085683953,0.551915851,0.267431507,25.96613405,0.088050881,0.447726027,0.048899217,0.398818004,141.4603366,44.84886399,0.857553816,16.29098924,11.39325538,0.661928571,0.159840509,0.098696673,0.473250489,-0.017840509,0.044023483,0.055611546,0.302530333,-0.06891683,0.137451076,0.081608611,0.428681996,-0.007439335,0.164874755,TRUE
